Year,Winner,Winner_Code,Winner_Flag_URL,Runner_Up,Runner_Up_Code,Runner_Up_Flag_URL,Final_Score,Host,Third,Fourth,Teams,Matches,Goals,Goals_Per_Match,Golden_Boot_Winner,Golden_Glove_Winner,Golden_Ball_Winner,Player_of_Tournament,Final_Match_Score
1930,Uruguay,URU,https://flagcdn.com/w80/uy.png,Argentina,ARG,https://flagcdn.com/w80/ar.png,4–2,Uruguay,USA,Yugoslavia,13,18,70,3.89,Guillermo Stabile,Not awarded,Not awarded,Not awarded,Uruguay 4–2 Argentina
1934,Italy,ITA,https://flagcdn.com/w80/it.png,Czechoslovakia,TCH,https://flagcdn.com/w80/cz.png,2–1,Italy,Germany,Austria,16,17,70,4.12,Oldrich Nejedly,Not awarded,Not awarded,Not awarded,Italy 2–1 Czechoslovakia
1938,Italy,ITA,https://flagcdn.com/w80/it.png,Hungary,HUN,https://flagcdn.com/w80/hu.png,4–2,France,Brazil,Sweden,15,18,84,4.67,Leonidas,Not awarded,Not awarded,Not awarded,Italy 4–2 Hungary
1950,Uruguay,URU,https://flagcdn.com/w80/uy.png,Brazil,BRA,https://flagcdn.com/w80/br.png,2–1,Brazil,Sweden,Spain,13,22,88,4.0,Ademir de Menezes,Not awarded,Not awarded,Not awarded,Uruguay 2–1 Brazil
1954,West Germany,GER,https://flagcdn.com/w80/de.png,Hungary,HUN,https://flagcdn.com/w80/hu.png,3–2,Switzerland,Austria,Uruguay,16,26,140,5.38,Sandor Kocsis,Not awarded,Not awarded,Not awarded,West Germany 3–2 Hungary
1958,Brazil,BRA,https://flagcdn.com/w80/br.png,Sweden,SWE,https://flagcdn.com/w80/se.png,5–2,Sweden,France,West Germany,16,35,126,3.6,Just Fontaine,Not awarded,Not awarded,Not awarded,Brazil 5–2 Sweden
1962,Brazil,BRA,https://flagcdn.com/w80/br.png,Czechoslovakia,TCH,https://flagcdn.com/w80/cz.png,3–1,Chile,Chile,Yugoslavia,16,32,89,2.78,Florian Albert / Garrincha / Valentin Ivanov / Drazen Jerkovic / Leonel Sanchez / Vava,Not awarded,Not awarded,Not awarded,Brazil 3–1 Czechoslovakia
1966,England,ENG,https://flagcdn.com/w80/gb-eng.png,West Germany,GER,https://flagcdn.com/w80/de.png,4–2,England,Portugal,Soviet Union,16,32,89,2.78,Eusebio,Not awarded,Not awarded,Not awarded,England 4–2 West Germany
1970,Brazil,BRA,https://flagcdn.com/w80/br.png,Italy,ITA,https://flagcdn.com/w80/it.png,4–1,Mexico,West Germany,Uruguay,16,32,95,2.97,Gerd Muller,Not awarded,Not awarded,Not awarded,Brazil 4–1 Italy
1974,West Germany,GER,https://flagcdn.com/w80/de.png,Netherlands,NED,https://flagcdn.com/w80/nl.png,2–1,West Germany,Poland,Brazil,16,38,97,2.55,Grzegorz Lato,Not awarded,Not awarded,Not awarded,West Germany 2–1 Netherlands
1978,Argentina,ARG,https://flagcdn.com/w80/ar.png,Netherlands,NED,https://flagcdn.com/w80/nl.png,3–1,Argentina,Brazil,Italy,16,38,102,2.68,Mario Kempes,Not awarded,Mario Kempes,Mario Kempes,Argentina 3–1 Netherlands
1982,Italy,ITA,https://flagcdn.com/w80/it.png,West Germany,GER,https://flagcdn.com/w80/de.png,3–1,Spain,Poland,France,24,52,146,2.81,Paolo Rossi,Not awarded,Paolo Rossi,Paolo Rossi,Italy 3–1 West Germany
1986,Argentina,ARG,https://flagcdn.com/w80/ar.png,West Germany,GER,https://flagcdn.com/w80/de.png,3–2,Mexico,France,Belgium,24,52,132,2.54,Gary Lineker,Not awarded,Diego Maradona,Diego Maradona,Argentina 3–2 West Germany
1990,West Germany,GER,https://flagcdn.com/w80/de.png,Argentina,ARG,https://flagcdn.com/w80/ar.png,1–0,Italy,Italy,England,24,52,115,2.21,Salvatore Schillaci,Not awarded,Salvatore Schillaci,Salvatore Schillaci,West Germany 1–0 Argentina
1994,Brazil,BRA,https://flagcdn.com/w80/br.png,Italy,ITA,https://flagcdn.com/w80/it.png,0–0 (3–2 pens),USA,Sweden,Bulgaria,24,52,141,2.71,Oleg Salenko / Hristo Stoichkov,Michel Preud'homme,Romario,Romario,Brazil 0–0 Italy (3–2 pens)
1998,France,FRA,https://flagcdn.com/w80/fr.png,Brazil,BRA,https://flagcdn.com/w80/br.png,3–0,France,Croatia,Netherlands,32,64,171,2.67,Davor Suker,Fabien Barthez,Ronaldo,Ronaldo,France 3–0 Brazil
2002,Brazil,BRA,https://flagcdn.com/w80/br.png,Germany,GER,https://flagcdn.com/w80/de.png,2–0,South Korea / Japan,Turkey,South Korea,32,64,161,2.52,Ronaldo,Oliver Kahn,Oliver Kahn,Oliver Kahn,Brazil 2–0 Germany
2006,Italy,ITA,https://flagcdn.com/w80/it.png,France,FRA,https://flagcdn.com/w80/fr.png,1–1 (5–3 pens),Germany,Germany,Portugal,32,64,147,2.3,Miroslav Klose,Gianluigi Buffon,Zinedine Zidane,Zinedine Zidane,Italy 1–1 France (5–3 pens)
2010,Spain,ESP,https://flagcdn.com/w80/es.png,Netherlands,NED,https://flagcdn.com/w80/nl.png,1–0,South Africa,Germany,Uruguay,32,64,145,2.27,Thomas Muller,Iker Casillas,Diego Forlan,Diego Forlan,Spain 1–0 Netherlands
2014,Germany,GER,https://flagcdn.com/w80/de.png,Argentina,ARG,https://flagcdn.com/w80/ar.png,1–0,Brazil,Netherlands,Brazil,32,64,171,2.67,James Rodriguez,Manuel Neuer,Lionel Messi,Lionel Messi,Germany 1–0 Argentina
2018,France,FRA,https://flagcdn.com/w80/fr.png,Croatia,CRO,https://flagcdn.com/w80/hr.png,4–2,Russia,Belgium,England,32,64,169,2.64,Harry Kane,Thibaut Courtois,Luka Modric,Luka Modric,France 4–2 Croatia
2022,Argentina,ARG,https://flagcdn.com/w80/ar.png,France,FRA,https://flagcdn.com/w80/fr.png,3–3 (4–2 pens),Qatar,Croatia,Morocco,32,64,172,2.69,Kylian Mbappe,Emiliano Martinez,Lionel Messi,Lionel Messi,Argentina 3–3 France (4–2 pens)
