Year,Winner,Winner_Code,Winner_Flag_URL,Runner_Up,Runner_Up_Code,Runner_Up_Flag_URL,Final_Score,Host,Third,Fourth,Teams,Matches,Goals,Goals_Per_Match,Golden_Boot_Winner,Golden_Glove_Winner,Golden_Ball_Winner,Player_of_Tournament,Final_Match_Score,Third_Flag_URL
1930,Uruguay,uy,https://flagcdn.com/w160/uy.png,Argentina,ar,https://flagcdn.com/w160/ar.png,4–2,Uruguay,USA,Yugoslavia,13,18,70,3.89,Guillermo Stabile,Not awarded,Not awarded,Not awarded,Uruguay 4–2 Argentina,https://flagcdn.com/w80/us.png
1934,Italy,it,https://flagcdn.com/w160/it.png,Czechoslovakia,cz,https://flagcdn.com/w160/cz.png,2–1,Italy,Germany,Austria,16,17,70,4.12,Oldrich Nejedly,Not awarded,Not awarded,Not awarded,Italy 2–1 Czechoslovakia,https://flagcdn.com/w80/de.png
1938,Italy,it,https://flagcdn.com/w160/it.png,Hungary,hu,https://flagcdn.com/w160/hu.png,4–2,France,Brazil,Sweden,15,18,84,4.67,Leonidas,Not awarded,Not awarded,Not awarded,Italy 4–2 Hungary,https://flagcdn.com/w80/br.png
1950,Uruguay,uy,https://flagcdn.com/w160/uy.png,Brazil,br,https://flagcdn.com/w160/br.png,2–1,Brazil,Sweden,Spain,13,22,88,4.0,Ademir de Menezes,Not awarded,Not awarded,Not awarded,Uruguay 2–1 Brazil,https://flagcdn.com/w80/se.png
1954,West Germany,de,https://flagcdn.com/w160/de.png,Hungary,hu,https://flagcdn.com/w160/hu.png,3–2,Switzerland,Austria,Uruguay,16,26,140,5.38,Sandor Kocsis,Not awarded,Not awarded,Not awarded,West Germany 3–2 Hungary,https://flagcdn.com/w80/at.png
1958,Brazil,br,https://flagcdn.com/w160/br.png,Sweden,se,https://flagcdn.com/w160/se.png,5–2,Sweden,France,West Germany,16,35,126,3.6,Just Fontaine,Not awarded,Not awarded,Not awarded,Brazil 5–2 Sweden,https://flagcdn.com/w80/fr.png
1962,Brazil,br,https://flagcdn.com/w160/br.png,Czechoslovakia,cz,https://flagcdn.com/w160/cz.png,3–1,Chile,Chile,Yugoslavia,16,32,89,2.78,Florian Albert / Garrincha / Valentin Ivanov / Drazen Jerkovic / Leonel Sanchez / Vava,Not awarded,Not awarded,Not awarded,Brazil 3–1 Czechoslovakia,https://flagcdn.com/w80/cl.png
1966,England,gb-eng,https://flagcdn.com/w160/gb-eng.png,West Germany,de,https://flagcdn.com/w160/de.png,4–2,England,Portugal,Soviet Union,16,32,89,2.78,Eusebio,Not awarded,Not awarded,Not awarded,England 4–2 West Germany,https://flagcdn.com/w80/pt.png
1970,Brazil,br,https://flagcdn.com/w160/br.png,Italy,it,https://flagcdn.com/w160/it.png,4–1,Mexico,West Germany,Uruguay,16,32,95,2.97,Gerd Muller,Not awarded,Not awarded,Not awarded,Brazil 4–1 Italy,https://flagcdn.com/w80/de.png
1974,West Germany,de,https://flagcdn.com/w160/de.png,Netherlands,nl,https://flagcdn.com/w160/nl.png,2–1,West Germany,Poland,Brazil,16,38,97,2.55,Grzegorz Lato,Not awarded,Not awarded,Not awarded,West Germany 2–1 Netherlands,https://flagcdn.com/w80/pl.png
