Country,Flag_URL
Argentina,https://flagcdn.com/w320/ar.png
Austria,https://flagcdn.com/w320/at.png
Belgium,https://flagcdn.com/w320/be.png
Brazil,https://flagcdn.com/w320/br.png
Bulgaria,https://flagcdn.com/w320/bg.png
Chile,https://flagcdn.com/w320/cl.png
Croatia,https://flagcdn.com/w320/hr.png
Czechoslovakia,https://flagcdn.com/w320/cs.png
England,https://flagcdn.com/w320/gb-eng.png
France,https://flagcdn.com/w320/fr.png
Germany,https://flagcdn.com/w320/de.png
Hungary,https://flagcdn.com/w320/hu.png
Italy,https://flagcdn.com/w320/it.png
Japan,https://flagcdn.com/w320/jp.png
Mexico,https://flagcdn.com/w320/mx.png
Morocco,https://flagcdn.com/w320/ma.png
Netherlands,https://flagcdn.com/w320/nl.png
Poland,https://flagcdn.com/w320/pl.png
Portugal,https://flagcdn.com/w320/pt.png
Qatar,https://flagcdn.com/w320/qa.png
Russia,https://flagcdn.com/w320/ru.png
South Africa,https://flagcdn.com/w320/za.png
South Korea,https://flagcdn.com/w320/kr.png
Soviet Union,https://flagcdn.com/w320/su.png
Spain,https://flagcdn.com/w320/es.png
Sweden,https://flagcdn.com/w320/se.png
Switzerland,https://flagcdn.com/w320/ch.png
Turkey,https://flagcdn.com/w320/tr.png
USA,https://flagcdn.com/w320/us.png
Uruguay,https://flagcdn.com/w320/uy.png
West Germany,https://flagcdn.com/w320/de.png
Yugoslavia,https://flagcdn.com/w320/yu.png
